Size	Quick Sort	Heap Sort
4	0.000001	0.000000
8	0.000001	0.000001
16	0.000002	0.000002
32	0.000004	0.000005
64	0.000010	0.000014
128	0.000021	0.000028
256	0.000048	0.000065
512	0.000098	0.000137
1024	0.000214	0.000318
2048	0.000485	0.000716
4096	0.001103	0.001486
8192	0.002794	0.003182
16384	0.007938	0.007080
32768	0.025227	0.014920
65536	0.084866	0.031048
131072	0.311618	0.065694
262144	1.195141	0.142146
524288	4.669323	0.301873
1048576	18.626557	0.637811
